Epoch #87 | Train Average MSE: 1.0296 | Test Average MSE: 0.9902
Epoch #88 | Train Average MSE: 1.0296 | Test Average MSE: 0.9901
Epoch #89 | Train Average MSE: 1.0296 | Test Average MSE: 0.9900
Epoch #90 | Train Average MSE: 1.0296 | Test Average MSE: 0.9899
Epoch #91 | Train Average MSE: 1.0295 | Test Average MSE: 0.9898
Epoch #92 | Train Average MSE: 1.0296 | Test Average MSE: 0.9897
Epoch #93 | Train Average MSE: 1.0295 | Test Average MSE: 0.9896
Epoch #94 | Train Average MSE: 1.0295 | Test Average MSE: 0.9896
Epoch #95 | Train Average MSE: 1.0296 | Test Average MSE: 0.9894
Epoch #96 | Train Average MSE: 1.0295 | Test Average MSE: 0.9894
Epoch #97 | Train Average MSE: 1.0294 | Test Average MSE: 0.9894
Epoch #98 | Train Average MSE: 1.0294 | Test Average MSE: 0.9894
Epoch #99 | Train Average MSE: 1.0295 | Test Average MSE: 0.9891
Epoch #100 | Train Average MSE: 1.0294 | Test Average MSE: 0.9892
Epoch #1 | Train Average MSE: 1.0433 | Test Average MSE: 0.8686
Epoch #2 | Train Average MSE: 1.0139 | Test Average MSE: 0.8608
Epoch #3 | Train Average MSE: 1.0477 | Test Average MSE: 0.8610
Epoch #4 | Train Average MSE: 1.0149 | Test Average MSE: 0.8531
Epoch #5 | Train Average MSE: 1.0222 | Test Average MSE: 0.8471
Epoch #6 | Train Average MSE: 0.9852 | Test Average MSE: 0.8151
Epoch #7 | Train Average MSE: 1.0725 | Test Average MSE: 0.8624
Epoch #8 | Train Average MSE: 0.9916 | Test Average MSE: 0.8282
Epoch #9 | Train Average MSE: 0.9758 | Test Average MSE: 0.8218
Epoch #10 | Train Average MSE: 1.0210 | Test Average MSE: 0.8612
Epoch #11 | Train Average MSE: 0.9656 | Test Average MSE: 0.8228
Epoch #12 | Train Average MSE: 0.9459 | Test Average MSE: 0.8329
Epoch #13 | Train Average MSE: 0.9445 | Test Average MSE: 0.8377
Epoch #14 | Train Average MSE: 0.9598 | Test Average MSE: 0.8303
Epoch #15 | Train Average MSE: 0.9248 | Test Average MSE: 0.8280
Epoch #16 | Train Average MSE: 0.9958 | Test Average MSE: 0.8510
Epoch #17 | Train Average MSE: 0.9567 | Test Average MSE: 0.8250
Epoch #18 | Train Average MSE: 0.9416 | Test Average MSE: 0.8508
Epoch #19 | Train Average MSE: 0.9370 | Test Average MSE: 0.8637
Epoch #20 | Train Average MSE: 0.9508 | Test Average MSE: 0.8495
Epoch #21 | Train Average MSE: 0.9426 | Test Average MSE: 0.8404
Epoch #22 | Train Average MSE: 0.9119 | Test Average MSE: 0.8133
Epoch #23 | Train Average MSE: 0.9125 | Test Average MSE: 0.8279
Epoch #24 | Train Average MSE: 0.9513 | Test Average MSE: 0.8149
Epoch #25 | Train Average MSE: 0.9343 | Test Average MSE: 0.8305
Epoch #26 | Train Average MSE: 0.9461 | Test Average MSE: 0.8859
Epoch #27 | Train Average MSE: 0.9066 | Test Average MSE: 0.8076
Epoch #28 | Train Average MSE: 0.9097 | Test Average MSE: 0.8200
Epoch #29 | Train Average MSE: 0.9063 | Test Average MSE: 0.8002
Epoch #30 | Train Average MSE: 0.8943 | Test Average MSE: 0.8153
Epoch #31 | Train Average MSE: 0.8959 | Test Average MSE: 0.8060
Epoch #32 | Train Average MSE: 0.8911 | Test Average MSE: 0.8119
Epoch #33 | Train Average MSE: 0.9013 | Test Average MSE: 0.8069
Epoch #34 | Train Average MSE: 0.9512 | Test Average MSE: 0.8671
Epoch #35 | Train Average MSE: 0.8955 | Test Average MSE: 0.8049
Epoch #36 | Train Average MSE: 0.9024 | Test Average MSE: 0.8610
Epoch #37 | Train Average MSE: 0.8775 | Test Average MSE: 0.8034
Epoch #38 | Train Average MSE: 1.0353 | Test Average MSE: 0.8700
Epoch #39 | Train Average MSE: 0.8974 | Test Average MSE: 0.8055
Epoch #40 | Train Average MSE: 0.8863 | Test Average MSE: 0.8031
Epoch #41 | Train Average MSE: 0.8909 | Test Average MSE: 0.8232
Epoch #42 | Train Average MSE: 0.8897 | Test Average MSE: 0.8268
Epoch #43 | Train Average MSE: 0.8661 | Test Average MSE: 0.8021
Epoch #44 | Train Average MSE: 0.8955 | Test Average MSE: 0.8354
Epoch #45 | Train Average MSE: 0.9301 | Test Average MSE: 0.8364
Epoch #46 | Train Average MSE: 0.9097 | Test Average MSE: 0.7979
Epoch #47 | Train Average MSE: 0.8795 | Test Average MSE: 0.7881
Epoch #48 | Train Average MSE: 0.8662 | Test Average MSE: 0.7856
Epoch #49 | Train Average MSE: 0.8645 | Test Average MSE: 0.7841
Epoch #50 | Train Average MSE: 0.8457 | Test Average MSE: 0.7721
Epoch #51 | Train Average MSE: 0.8371 | Test Average MSE: 0.7782
Epoch #52 | Train Average MSE: 0.8698 | Test Average MSE: 0.7796
Epoch #53 | Train Average MSE: 0.8705 | Test Average MSE: 0.7980
Epoch #54 | Train Average MSE: 0.8893 | Test Average MSE: 0.8164
Epoch #55 | Train Average MSE: 0.8625 | Test Average MSE: 0.7984
Epoch #56 | Train Average MSE: 0.8724 | Test Average MSE: 0.7945
